Код;Артикул;Номенклатура;Остаток;Цена
020540;p008;Губка-насадка запаснаядля швабры ПВА PAVERA /150/;100;102.33
020415;p422;Насадка д/швабры из микрофибры Люкс 55*80 PAVERA /36/;556;120.11
020414;p421;Насадка д/швабры из микрофибры Люкс 60*96 PAVERA /36/;250;149.47
020416;p052;Окномойка-ручка 100см PAVERA /52/;60;126.38
030534;p054;Окномойка-ручка 240см PAVERA /52/;55;137.81
020412;p005/2;Швабра ПВА стальной корпус, двойной ряд роликов PAVERA /22/;11;490.48
022946;АМ 17С;Вешалка д/одежды 2крючка с полкой хром /4/;16;129.66
029784;ВТ-4В;Вешалка д/одежды 4крючка бронза /6/;14;144.23
026811;463-729;Держатель для зубных щеток 4*7см./180/10/;22;38.30
016134;478-015;Держатель для туалетной бумаги и освежителя воздуха ARTEX /10/5/;9;169.68
030392;461-306;Карниз для ванной комнаты 2,6м,серебро /60/4/;169;223.90
000791;461-305;Карниз для ванной комнаты 2,6м. белый /60/;11;219.06
000790;461-307;Карниз для ванной комнаты 2,6м.голубой /60/;6;223.90
031963;403-071;Коврик в ванную Герберы противоск.овал 68*38см./24/;13;166.88
031964;403-079;Коврик в ванную Ромбы противоск.овал 68*38см./30/;14;115.07
029574;403-072;Коврик в ванную Цветы противоск.72*38см./24/6/;11;203.74
026358;361-021;Мочалка- скрабер лента с ручками 54х11см арт.2102 /10/1/;21;69.81
022277;022277;Мочалка Радость /100/;110;39.75
030141;030141;Мочалка капроноваяАнтицеллюлитная /50/;158;48.48
023030;023030;Мочалка капроноваяВарежка /100/;86;27.88
026999;026999;Мочалка капроноваяЗебра длинный ворс, разноцветная, поролон /100/;85;27.88
015327;015327;Мочалка капроноваяМассажная-Жесткая с поролоном /100/10/;147;22.30
026997;026997*;Мочалка капроноваяМедведь /80/;13;44.84
015835;015835;Мочалка капроноваяМой Додыр /80/;91;44.84
026998;026998;Мочалка капроноваяПусто-Густо жесткий ворс /100/;123;27.88
022984;022984;Мочалка капроноваяШахтерская /25/;217;55.15
005479;005479;Мочалка капроноваядвойная с поролоном Стандарт /100/10/;242;16.73
016205;016205;Мочалка капроновая без поролона длинный ворс Лиана /100/10/;194;23.76
001165;001165;Мочалка капроновая круглая двойная вязанная /450/370/10/;135;48.00
000813;000813;Мочалка капроновая одинарная /200/10/;478;34.66
011525;011525;Мочалка капроновая с поролоном длинный ворс Фабричная/100/10/;238;22.30
031730;361-117;Мочалка-детская в виде апельсина 12*3см /груши 14*12*3см./300/10/;4;40.68
027972;463-750;Мыльница овальная метал. 12,5х9х4см /300/1/;18;38.20
020229;463-049;Мыльница силик. на присосках /500/10/;44;13.71
032432;463-842;Набор для ванной 4пр. пластик (стакан,стакан под щетки,ершик,мыльница)/12/;1;375.72
030705;463-757;Набор для ванной 4пр.(шторка ПЕВА 180*180см+ 3 керам. предмета) бирюза/12/1/;2;447.10
032526;463-756;Набор для ванной 4пр.(шторка ПЕВА 180*180см+12 колец+ 3 керам. предмета) бежевый/12/1/;8;380.13
022189;305-311;Пемза 2-х сторонняя С-24 /600/24/;46;29.04
022044;305-312;Пемза 2-х сторонняя С-25 /600/12/;38;30.06
024953;305-307;Пемза 4-х сторонняя 16,5см /288/12/;36;34.91
024751;305-045;Пемза вулканическая Лава3*6*9см. /200/25/;44;38.78
024714;АЛТ/АМ 13С;Полка в ванную 5 крючка хром /8/;26;206.68
027105;АЛТ 18С;Полка угловая (1 секции) хром /4/;11;156.56
020509;АЛТ/АМ 10С;Полка угловая (2 секции) хром /8/;4;246.23
018457;463-006;Пробка для ванной Крокодил8*5см /72/5/;13;63.68
018458;463-038;Пробка для ванной Лягушка4*2*6см /72/5/;1;67.49
025687;463-724;Сиденье для унитаза мягкое Ракушка /12/;4;379.53
032314;461-421;Штора для ванной Альпы ткань.с утяж.180*180см /40/;10;465.66
034460;461-293;Штора для ванной Тигр ткань.с утяж.180*180см /40/;1;432.22
023771;6845;Коврик резиновый Pin 40х60см Волна /10/;22;173.16
015911;6845-Л;Коврик резиновый Pin 40х60см Листья /10/;7;173.16
016774;6845-Р;Коврик резиновый Pin 40х60см Ромбы /10/;4;173.16
016773;6845-С;Коврик резиновый Pin 40х60см Следы /10/;21;173.16
030573;281-118;Аппликация самокл. 3D эффект 22*32см.ХОББИТХИТ/480/12/;54;45.09
030570;281-113;Аппликация самокл.Микс 21*27см./720/20/;120;21.96
030677;623-374;Гвозди декор усиленные бронза/100/;14;26.66
027786;623-376;Гвозди декор усиленные хром /100/10/;106;26.66
023532;623-063;Гвозди декор усиленные хром 100гр.167шт./100/10/;75;34.37
023038;173-218;Гидрогель для домашних растен Шарики полиме.пласт /1200/60/;8;17.57
029876;284-145;Доска магнитно-маркерная+алфавит, цифры, маркер, мелки 4шт, губка /36/2/;16;473.16
032088;324-116;Заколка-краб набор (3штуч.), 3,5*4см/1,5см /600/12/;6;25.21
022083;356-848;Заколка-краб со стразами Каролина пластик микс /6/;17;41.70
026223;356-908;Заколка-крабГеоргина 8см /6/;11;67.25
027056;491-049;Занавеска для кухни 1,65*1,7м 09с6304;1;183.61
026318;491-057;Занавеска для кухни 1,69*1,62см 7с948/10/;10;192.71
026672;491-334;Занавеска для кухни 1,7*1,7м 09с6305;4;186.93
031051;497-007;Занавеска для кухни нитяная с блестками1*2м /10/;4;206.76
025309;301-188;Зеркало дорожное с расческой, 5дизайна /12/;3;30.85
023516;301-221;Зеркало настольное ажурное 18*9,5см./72/2/;4;111.50
023402;301-050;Зеркало настольное круглое 22х17,5см пластик /60/2/;8;147.38
027253;347-049;Зеркало настольное трансформер, картон, 13,5*17,2см/160/4/;43;88.30
027865;027865;Игла швейная Снежинка/25/;4;10.42
022971;022971;Иглы Рушничок /25/;51;10.42
022399;308-125;Иглы в наборе 60шт (шитье+рукоделие) сталь .НС-025/720/12/;33;43.63
015358;308-592;Иглы швейные в круглой коробке (набор) /1000/25/;47;11.39
